Month,Store serial number,Store name,City,Module_CN,Severity_Code,Severity_CN,Label,Check items,Opportunity point description,Opportunity point value,Check date,checker
2026-03,US00008,JFK Terminal 1,New York City,水务与管道,G,G项,Water Sinks & Pipes,Check: Water Sinks & Pipes compliance requirement,Food item past expiration date found in storage area,-2,2026-03-17,Chen Yu
2026-03,US00010,Union Square,New York City,水务与管道,G,G项,Water Filtration Device,Check: Water Filtration Device compliance requirement,Employee health certificate expired,-2,2026-03-12,Zhang Wei
2026-03,US00004,Wall Street,New York City,水务与管道,L,L项,Water Filtration Device,Check: Water Filtration Device compliance requirement,Employee health certificate expired,-1,2026-03-14,Zhang Wei
2026-03,US00005,Midtown East,New York City,水务与管道,L,L项,Water Filtration Device,Check: Water Filtration Device compliance requirement,Personal items in food preparation area,-1,2026-03-15,Wang Fang
2026-03,US00005,Midtown East,New York City,水务与管道,L,L项,Water Sinks & Pipes,Check: Water Sinks & Pipes compliance requirement,Operating license not displayed visibly,-1,2026-03-24,Wang Fang
2026-03,US00007,Penn Station,New York City,水务与管道,L,L项,Potable Water Supply is Adequate,Check: Potable Water Supply is Adequate compliance requirement,Light fixture damaged in food prep area,-1,2026-03-28,Zhang Wei
2026-03,US00007,Penn Station,New York City,水务与管道,L,L项,Potable Water Supply is Adequate,Check: Potable Water Supply is Adequate compliance requirement,Equipment not properly maintained - ice machine leaking,-1,2026-03-01,Wang Fang
2026-03,US00007,Penn Station,New York City,水务与管道,L,L项,Grease traps&Residue traps&Sewer lines,Check: Grease traps&Residue traps&Sewer lines compliance requirement,Light fixture damaged in food prep area,-1,2026-03-01,Wang Fang
2026-03,US00008,JFK Terminal 1,New York City,水务与管道,L,L项,Potable Water Supply is Adequate,Check: Potable Water Supply is Adequate compliance requirement,Personal items in food preparation area,-1,2026-03-19,Chen Yu
2026-03,US00009,Columbus Circle,New York City,水务与管道,L,L项,Potable Water Supply is Adequate,Check: Potable Water Supply is Adequate compliance requirement,Temperature of freezer above acceptable range,-1,2026-03-05,Wang Fang
2026-03,US00009,Columbus Circle,New York City,水务与管道,L,L项,Water Sinks & Pipes,Check: Water Sinks & Pipes compliance requirement,"Trash can lid broken, needs repair",-1,2026-03-04,Wang Fang
2026-03,US00003,Bryant Park,New York City,水务与管道,M,M项,Potable Water Supply is Adequate,Check: Potable Water Supply is Adequate compliance requirement,Light fixture damaged in food prep area,-5,2026-03-15,Chen Yu
2026-03,US00002,Herald Square,New York City,清洁消毒,G,G项,Handwashing Standards,Check: Handwashing Standards compliance requirement,Food items stored directly on floor,-2,2026-03-25,Zhang Wei
2026-03,US00002,Herald Square,New York City,清洁消毒,G,G项,Procedures for Cleaning and Disinfection,Check: Procedures for Cleaning and Disinfection compliance requirement,Grease trap not cleaned on schedule,-2,2026-03-25,Zhang Wei
2026-03,US00006,28th & 6th,New York City,清洁消毒,G,G项,Handwashing Standards,Check: Handwashing Standards compliance requirement,Handwashing station missing soap,-2,2026-03-11,Li Ming
2026-03,US00007,Penn Station,New York City,清洁消毒,G,G项,Disposable Gloves and Blue Bandages,Check: Disposable Gloves and Blue Bandages compliance requirement,Cross contamination risk: raw and cooked food stored together,-2,2026-03-28,Zhang Wei
2026-03,US00007,Penn Station,New York City,清洁消毒,L,L项,Disposable Gloves and Blue Bandages,Check: Disposable Gloves and Blue Bandages compliance requirement,Equipment not properly maintained - ice machine leaking,-1,2026-03-28,Zhang Wei
2026-03,US00008,JFK Terminal 1,New York City,清洁消毒,L,L项,Handwashing Standards,Check: Handwashing Standards compliance requirement,Employee health certificate expired,-1,2026-03-19,Chen Yu
2026-03,US00009,Columbus Circle,New York City,清洁消毒,L,L项,Handwashing Standards,Check: Handwashing Standards compliance requirement,Grease trap not cleaned on schedule,-1,2026-03-05,Wang Fang
2026-03,US00009,Columbus Circle,New York City,清洁消毒,L,L项,Handwashing Standards,Check: Handwashing Standards compliance requirement,Operating license not displayed visibly,-1,2026-03-04,Wang Fang
2026-03,US00010,Union Square,New York City,清洁消毒,L,L项,Disposable Gloves and Blue Bandages,Check: Disposable Gloves and Blue Bandages compliance requirement,Water filter replacement date overdue,-1,2026-03-22,Zhang Wei
2026-03,US00010,Union Square,New York City,清洁消毒,L,L项,Handwashing Standards,Check: Handwashing Standards compliance requirement,Grease trap not cleaned on schedule,-1,2026-03-22,Zhang Wei
2026-03,US00006,28th & 6th,New York City,温控管理,G,G项,Product Storage Conditions,Check: Product Storage Conditions compliance requirement,Gloves not worn during food preparation,-2,2026-03-11,Li Ming
2026-03,US00002,Herald Square,New York City,温控管理,L,L项,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,Check: Devices for Monitoring the Temperatures of All Refrigerators and Freezers compliance requirement,Cross contamination risk: raw and cooked food stored together,-1,2026-03-25,Zhang Wei
2026-03,US00002,Herald Square,New York City,温控管理,L,L项,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,Check: Devices for Monitoring the Temperatures of All Refrigerators and Freezers compliance requirement,Gloves not worn during food preparation,-1,2026-03-25,Zhang Wei
2026-03,US00003,Bryant Park,New York City,温控管理,L,L项,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,Check: Devices for Monitoring the Temperatures of All Refrigerators and Freezers compliance requirement,Light fixture damaged in food prep area,-1,2026-03-17,Li Ming
2026-03,US00005,Midtown East,New York City,温控管理,L,L项,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,Check: Devices for Monitoring the Temperatures of All Refrigerators and Freezers compliance requirement,Equipment not properly maintained - ice machine leaking,-1,2026-03-24,Wang Fang
2026-03,US00006,28th & 6th,New York City,温控管理,L,L项,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,Check: Devices for Monitoring the Temperatures of All Refrigerators and Freezers compliance requirement,Grease trap not cleaned on schedule,-1,2026-03-11,Li Ming
2026-03,US00010,Union Square,New York City,温控管理,L,L项,Product Storage Conditions,Check: Product Storage Conditions compliance requirement,Chemical storage area not properly labeled,-1,2026-03-22,Zhang Wei
2026-03,US00005,Midtown East,New York City,环境与客区,G,G项,Customer Area,Check: Customer Area compliance requirement,Temperature of freezer above acceptable range,-2,2026-03-15,Wang Fang
2026-03,US00006,28th & 6th,New York City,环境与客区,G,G项,Trash Cans,Check: Trash Cans compliance requirement,Temperature log not completed for refrigerator,-2,2026-03-27,Chen Yu
2026-03,US00007,Penn Station,New York City,环境与客区,G,G项,Trash Cans,Check: Trash Cans compliance requirement,Temperature log not completed for refrigerator,-2,2026-03-28,Zhang Wei
2026-03,US00009,Columbus Circle,New York City,环境与客区,G,G项,Workplace Safety,Check: Workplace Safety compliance requirement,No air gap in plumbing under sink,-2,2026-03-04,Wang Fang
2026-03,US00001,Times Square,New York City,环境与客区,L,L项,Customer Area,Check: Customer Area compliance requirement,Equipment not properly maintained - ice machine leaking,-1,2026-03-28,Wang Fang
2026-03,US00003,Bryant Park,New York City,环境与客区,L,L项,Workplace Safety,Check: Workplace Safety compliance requirement,Chemical storage area not properly labeled,-1,2026-03-15,Chen Yu
2026-03,US00004,Wall Street,New York City,环境与客区,L,L项,Customer Area,Check: Customer Area compliance requirement,Food items stored directly on floor,-1,2026-03-28,Chen Yu
2026-03,US00004,Wall Street,New York City,环境与客区,L,L项,Workplace Safety,Check: Workplace Safety compliance requirement,Chemical storage area not properly labeled,-1,2026-03-14,Zhang Wei
2026-03,US00005,Midtown East,New York City,环境与客区,L,L项,Lights,Check: Lights compliance requirement,Water filter replacement date overdue,-1,2026-03-15,Wang Fang
2026-03,US00007,Penn Station,New York City,环境与客区,L,L项,Trash Cans,Check: Trash Cans compliance requirement,Operating license not displayed visibly,-1,2026-03-01,Wang Fang
2026-03,US00008,JFK Terminal 1,New York City,环境与客区,L,L项,Lights,Check: Lights compliance requirement,Gloves not worn during food preparation,-1,2026-03-19,Chen Yu
2026-03,US00010,Union Square,New York City,环境与客区,M,M项,Trash Cans,Check: Trash Cans compliance requirement,Employee health certificate expired,-5,2026-03-22,Zhang Wei
2026-03,US00003,Bryant Park,New York City,虫害防控,G,G项,No pests enter,Check: No pests enter compliance requirement,Grease trap not cleaned on schedule,-2,2026-03-17,Li Ming
2026-03,US00003,Bryant Park,New York City,虫害防控,G,G项,No pests enter,Check: No pests enter compliance requirement,Temperature of freezer above acceptable range,-2,2026-03-17,Li Ming
2026-03,US00008,JFK Terminal 1,New York City,虫害防控,G,G项,Insect Pest Control Facilities & Suppliers,Check: Insect Pest Control Facilities & Suppliers compliance requirement,"Trash can lid broken, needs repair",-2,2026-03-19,Chen Yu
2026-03,US00002,Herald Square,New York City,虫害防控,L,L项,Insect Pest Control Facilities & Suppliers,Check: Insect Pest Control Facilities & Suppliers compliance requirement,Handwashing station missing soap,-1,2026-03-25,Zhang Wei
2026-03,US00003,Bryant Park,New York City,虫害防控,L,L项,No Sign of Insect Pests,Check: No Sign of Insect Pests compliance requirement,Handwashing station missing soap,-1,2026-03-17,Li Ming
2026-03,US00003,Bryant Park,New York City,虫害防控,L,L项,Insect Pest Control Facilities & Suppliers,Check: Insect Pest Control Facilities & Suppliers compliance requirement,Food storage containers not labeled with date,-1,2026-03-17,Li Ming
2026-03,US00005,Midtown East,New York City,虫害防控,L,L项,Insect Pest Control Facilities & Suppliers,Check: Insect Pest Control Facilities & Suppliers compliance requirement,Handwashing station missing soap,-1,2026-03-15,Wang Fang
2026-03,US00006,28th & 6th,New York City,虫害防控,L,L项,No Sign of Insect Pests,Check: No Sign of Insect Pests compliance requirement,Temperature log not completed for refrigerator,-1,2026-03-11,Li Ming
2026-03,US00007,Penn Station,New York City,虫害防控,L,L项,Insect Pest Control Facilities & Suppliers,Check: Insect Pest Control Facilities & Suppliers compliance requirement,Floor not clean under the sink area,-1,2026-03-28,Zhang Wei
2026-03,US00007,Penn Station,New York City,虫害防控,L,L项,No Sign of Insect Pests,Check: No Sign of Insect Pests compliance requirement,Temperature log not completed for refrigerator,-1,2026-03-01,Wang Fang
2026-03,US00008,JFK Terminal 1,New York City,虫害防控,L,L项,No Sign of Insect Pests,Check: No Sign of Insect Pests compliance requirement,"Trash can lid broken, needs repair",-1,2026-03-19,Chen Yu
2026-03,US00009,Columbus Circle,New York City,虫害防控,L,L项,No pests enter,Check: No pests enter compliance requirement,Equipment not properly maintained - ice machine leaking,-1,2026-03-04,Wang Fang
2026-03,US00010,Union Square,New York City,虫害防控,L,L项,Insect Pest Control Facilities & Suppliers,Check: Insect Pest Control Facilities & Suppliers compliance requirement,Employee health certificate expired,-1,2026-03-22,Zhang Wei
2026-03,US00007,Penn Station,New York City,虫害防控,M,M项,No pests enter,Check: No pests enter compliance requirement,Floor not clean under the sink area,-5,2026-03-28,Zhang Wei
2026-03,US00004,Wall Street,New York City,设备与工具,G,G项,Equipment Inspection and Maintenance,Check: Equipment Inspection and Maintenance compliance requirement,Water filter replacement date overdue,-2,2026-03-14,Zhang Wei
2026-03,US00005,Midtown East,New York City,设备与工具,G,G项,Equipment Inspection and Maintenance,Check: Equipment Inspection and Maintenance compliance requirement,Temperature log not completed for refrigerator,-2,2026-03-15,Wang Fang
2026-03,US00006,28th & 6th,New York City,设备与工具,G,G项,Equipment and Food Processing Utensils,Check: Equipment and Food Processing Utensils compliance requirement,Equipment not properly maintained - ice machine leaking,-2,2026-03-11,Li Ming
2026-03,US00006,28th & 6th,New York City,设备与工具,G,G项,Storage/Maintenance of Utensils,Check: Storage/Maintenance of Utensils compliance requirement,Employee health certificate expired,-2,2026-03-11,Li Ming
2026-03,US00006,28th & 6th,New York City,设备与工具,G,G项,Facility Inspection and Maintenance,Check: Facility Inspection and Maintenance compliance requirement,No air gap in plumbing under sink,-2,2026-03-11,Li Ming
2026-03,US00007,Penn Station,New York City,设备与工具,G,G项,Storage/Maintenance of Utensils,Check: Storage/Maintenance of Utensils compliance requirement,Gloves not worn during food preparation,-2,2026-03-01,Wang Fang
2026-03,US00010,Union Square,New York City,设备与工具,G,G项,Storage/Maintenance of Utensils,Check: Storage/Maintenance of Utensils compliance requirement,Food items stored directly on floor,-2,2026-03-12,Zhang Wei
2026-03,US00003,Bryant Park,New York City,设备与工具,L,L项,Equipment Inspection and Maintenance,Check: Equipment Inspection and Maintenance compliance requirement,Cross contamination risk: raw and cooked food stored together,-1,2026-03-15,Chen Yu
2026-03,US00003,Bryant Park,New York City,设备与工具,L,L项,Equipment and Food Processing Utensils,Check: Equipment and Food Processing Utensils compliance requirement,Food storage containers not labeled with date,-1,2026-03-15,Chen Yu
2026-03,US00004,Wall Street,New York City,设备与工具,L,L项,Equipment Inspection and Maintenance,Check: Equipment Inspection and Maintenance compliance requirement,Water filter replacement date overdue,-1,2026-03-28,Chen Yu
2026-03,US00008,JFK Terminal 1,New York City,设备与工具,L,L项,Storage/Maintenance of Utensils,Check: Storage/Maintenance of Utensils compliance requirement,"Trash can lid broken, needs repair",-1,2026-03-17,Chen Yu
2026-03,US00010,Union Square,New York City,设备与工具,L,L项,Equipment Inspection and Maintenance,Check: Equipment Inspection and Maintenance compliance requirement,Grease trap not cleaned on schedule,-1,2026-03-22,Zhang Wei
2026-03,US00010,Union Square,New York City,设备与工具,L,L项,Facility Inspection and Maintenance,Check: Facility Inspection and Maintenance compliance requirement,Food items stored directly on floor,-1,2026-03-22,Zhang Wei
2026-03,US00009,Columbus Circle,New York City,设备与工具,M,M项,Equipment Inspection and Maintenance,Check: Equipment Inspection and Maintenance compliance requirement,Handwashing station missing soap,-5,2026-03-05,Wang Fang
2026-03,US00003,Bryant Park,New York City,证照与规范,G,G项,Operating Specifications,Check: Operating Specifications compliance requirement,"Trash can lid broken, needs repair",-2,2026-03-15,Chen Yu
2026-03,US00003,Bryant Park,New York City,证照与规范,G,G项,Requirements,Check: Requirements compliance requirement,Food items stored directly on floor,-2,2026-03-15,Chen Yu
2026-03,US00003,Bryant Park,New York City,证照与规范,G,G项,Requirements,Check: Requirements compliance requirement,Chemical storage area not properly labeled,-2,2026-03-17,Li Ming
2026-03,US00004,Wall Street,New York City,证照与规范,G,G项,Licenses and certificates,Check: Licenses and certificates compliance requirement,Food item past expiration date found in storage area,-2,2026-03-28,Chen Yu
2026-03,US00004,Wall Street,New York City,证照与规范,G,G项,Licenses and certificates,Check: Licenses and certificates compliance requirement,Food item past expiration date found in storage area,-2,2026-03-14,Zhang Wei
2026-03,US00002,Herald Square,New York City,证照与规范,L,L项,Government inspection,Check: Government inspection compliance requirement,Employee health certificate expired,-1,2026-03-25,Zhang Wei
2026-03,US00002,Herald Square,New York City,证照与规范,L,L项,Government inspection,Check: Government inspection compliance requirement,Grease trap not cleaned on schedule,-1,2026-03-25,Zhang Wei
2026-03,US00003,Bryant Park,New York City,证照与规范,L,L项,Licenses and certificates,Check: Licenses and certificates compliance requirement,Cross contamination risk: raw and cooked food stored together,-1,2026-03-17,Li Ming
2026-03,US00006,28th & 6th,New York City,证照与规范,L,L项,License Documents,Check: License Documents compliance requirement,Personal items in food preparation area,-1,2026-03-27,Chen Yu
2026-03,US00006,28th & 6th,New York City,证照与规范,L,L项,Requirements,Check: Requirements compliance requirement,Handwashing station missing soap,-1,2026-03-11,Li Ming
2026-03,US00006,28th & 6th,New York City,证照与规范,L,L项,Government inspection,Check: Government inspection compliance requirement,No air gap in plumbing under sink,-1,2026-03-11,Li Ming
2026-03,US00007,Penn Station,New York City,证照与规范,L,L项,Government inspection,Check: Government inspection compliance requirement,Pest trap not checked in the last 30 days,-1,2026-03-01,Wang Fang
2026-03,US00008,JFK Terminal 1,New York City,证照与规范,L,L项,Requirements,Check: Requirements compliance requirement,Equipment not properly maintained - ice machine leaking,-1,2026-03-17,Chen Yu
2026-03,US00009,Columbus Circle,New York City,证照与规范,L,L项,Operating Specifications,Check: Operating Specifications compliance requirement,Grease trap not cleaned on schedule,-1,2026-03-05,Wang Fang
2026-03,US00009,Columbus Circle,New York City,证照与规范,L,L项,Government inspection,Check: Government inspection compliance requirement,Water filter replacement date overdue,-1,2026-03-04,Wang Fang
2026-03,US00010,Union Square,New York City,证照与规范,L,L项,Operating Specifications,Check: Operating Specifications compliance requirement,Handwashing station missing soap,-1,2026-03-12,Zhang Wei
2026-03,US00010,Union Square,New York City,证照与规范,L,L项,Government inspection,Check: Government inspection compliance requirement,Water filter replacement date overdue,-1,2026-03-12,Zhang Wei
2026-03,US00003,Bryant Park,New York City,食品加工区域,G,G项,Avoidance of Falling Foreign Objects,Check: Avoidance of Falling Foreign Objects compliance requirement,Water filter replacement date overdue,-2,2026-03-17,Li Ming
2026-03,US00006,28th & 6th,New York City,食品加工区域,G,G项,Avoidance of Falling Foreign Objects,Check: Avoidance of Falling Foreign Objects compliance requirement,No air gap in plumbing under sink,-2,2026-03-11,Li Ming
2026-03,US00007,Penn Station,New York City,食品加工区域,G,G项,Avoidance of Falling Foreign Objects,Check: Avoidance of Falling Foreign Objects compliance requirement,Floor not clean under the sink area,-2,2026-03-01,Wang Fang
2026-03,US00008,JFK Terminal 1,New York City,食品加工区域,G,G项,"Operation Stand, Shelf, Cabinet and Water Sink","Check: Operation Stand, Shelf, Cabinet and Water Sink compliance requirement",Equipment not properly maintained - ice machine leaking,-2,2026-03-17,Chen Yu
2026-03,US00008,JFK Terminal 1,New York City,食品加工区域,G,G项,Avoidance of Falling Foreign Objects,Check: Avoidance of Falling Foreign Objects compliance requirement,Operating license not displayed visibly,-2,2026-03-19,Chen Yu
2026-03,US00008,JFK Terminal 1,New York City,食品加工区域,G,G项,Food Processing Area,Check: Food Processing Area compliance requirement,Handwashing station missing soap,-2,2026-03-19,Chen Yu
2026-03,US00009,Columbus Circle,New York City,食品加工区域,G,G项,Avoidance of Falling Foreign Objects,Check: Avoidance of Falling Foreign Objects compliance requirement,Grease trap not cleaned on schedule,-2,2026-03-05,Wang Fang
2026-03,US00009,Columbus Circle,New York City,食品加工区域,G,G项,"Operation Stand, Shelf, Cabinet and Water Sink","Check: Operation Stand, Shelf, Cabinet and Water Sink compliance requirement",Pest trap not checked in the last 30 days,-2,2026-03-04,Wang Fang
2026-03,US00010,Union Square,New York City,食品加工区域,G,G项,Avoidance of Falling Foreign Objects,Check: Avoidance of Falling Foreign Objects compliance requirement,Handwashing station missing soap,-2,2026-03-22,Zhang Wei
2026-03,US00003,Bryant Park,New York City,食品加工区域,L,L项,Avoidance of Falling Foreign Objects,Check: Avoidance of Falling Foreign Objects compliance requirement,Handwashing station missing soap,-1,2026-03-17,Li Ming
2026-03,US00005,Midtown East,New York City,食品加工区域,L,L项,Food Processing Area,Check: Food Processing Area compliance requirement,Floor not clean under the sink area,-1,2026-03-15,Wang Fang
2026-03,US00006,28th & 6th,New York City,食品加工区域,L,L项,Cross Contamination,Check: Cross Contamination compliance requirement,Temperature of freezer above acceptable range,-1,2026-03-27,Chen Yu
2026-03,US00006,28th & 6th,New York City,食品加工区域,L,L项,Cross Contamination,Check: Cross Contamination compliance requirement,Water filter replacement date overdue,-1,2026-03-27,Chen Yu
2026-03,US00006,28th & 6th,New York City,食品加工区域,L,L项,"Operation Stand, Shelf, Cabinet and Water Sink","Check: Operation Stand, Shelf, Cabinet and Water Sink compliance requirement",Temperature log not completed for refrigerator,-1,2026-03-27,Chen Yu
2026-03,US00007,Penn Station,New York City,食品加工区域,L,L项,"Operation Stand, Shelf, Cabinet and Water Sink","Check: Operation Stand, Shelf, Cabinet and Water Sink compliance requirement",Food storage containers not labeled with date,-1,2026-03-28,Zhang Wei
2026-03,US00009,Columbus Circle,New York City,食品加工区域,L,L项,Avoidance of Falling Foreign Objects,Check: Avoidance of Falling Foreign Objects compliance requirement,Employee health certificate expired,-1,2026-03-05,Wang Fang
2026-03,US00006,28th & 6th,New York City,食品加工区域,M,M项,"Operation Stand, Shelf, Cabinet and Water Sink","Check: Operation Stand, Shelf, Cabinet and Water Sink compliance requirement",Personal items in food preparation area,-5,2026-03-27,Chen Yu
